year,district,contact_type_cd,sex_code_cd,race_code_cd,age_group,count
2016,8,INVSTG,M,BLK,50-60,145
2016,8,INVSTG,M,BLK,60 or older,36
2016,8,INVSTG,M,BLK,Juvenile,649
2016,8,INVSTG,M,I,19-30,2
2016,8,INVSTG,M,I,40-50,1
2016,8,INVSTG,M,I,Juvenile,4
2016,8,INVSTG,M,P,19-30,4
2016,8,INVSTG,M,P,30-40,1
2016,8,INVSTG,M,P,60 or older,1
2016,8,INVSTG,M,WBH,19-30,2
2016,8,INVSTG,M,WHI,19-30,1
2016,8,INVSTG,M,WHI,Juvenile,1
2016,8,INVSTG,M,WHT,19-30,183
2016,8,INVSTG,M,WHT,30-40,90
2016,8,INVSTG,M,WHT,40-50,57
2016,8,INVSTG,M,WHT,50-60,58
2016,8,INVSTG,M,WHT,60 or older,23
2016,8,INVSTG,M,WHT,Juvenile,126
2016,8,INVSTG,M,WWH,19-30,836
2016,8,INVSTG,M,WWH,30-40,230
2016,8,INVSTG,M,WWH,40-50,119
2016,8,INVSTG,M,WWH,50-60,41
2016,8,INVSTG,M,WWH,60 or older,10
2016,8,INVSTG,M,WWH,Juvenile,939
2016,8,INVSTG,X,API,Juvenile,1
2016,8,INVSTG,X,BLK,19-30,3
2016,8,INVSTG,X,I,Juvenile,2
2016,8,INVSTG,X,WHT,Juvenile,2
2016,9,GANGLTR,F,BLK,19-30,1
2016,9,GANGLTR,F,BLK,40-50,1
2016,9,GANGLTR,F,BLK,50-60,1
2016,9,GANGLTR,F,BLK,60 or older,2
2016,9,GANGLTR,F,WHT,19-30,1
2016,9,GANGLTR,F,WWH,19-30,5
2016,9,GANGLTR,F,WWH,Juvenile,1
2016,9,GANGLTR,M,BLK,19-30,23
2016,9,GANGLTR,M,BLK,30-40,8
2016,9,GANGLTR,M,BLK,40-50,8
2016,9,GANGLTR,M,BLK,50-60,3
2016,9,GANGLTR,M,BLK,60 or older,2
2016,9,GANGLTR,M,BLK,Juvenile,19
2016,9,GANGLTR,M,WHT,19-30,7
2016,9,GANGLTR,M,WHT,30-40,1
2016,9,GANGLTR,M,WHT,40-50,1
2016,9,GANGLTR,M,WHT,Juvenile,2
2016,9,GANGLTR,M,WWH,19-30,157
2016,9,GANGLTR,M,WWH,30-40,30
2016,9,GANGLTR,M,WWH,40-50,6
2016,9,GANGLTR,M,WWH,Juvenile,178
2016,9,INVSTG,F,API,30-40,3
2016,9,INVSTG,F,API,40-50,1
2016,9,INVSTG,F,API,60 or older,2
2016,9,INVSTG,F,API,Juvenile,2
2016,9,INVSTG,F,BLK,19-30,132
2016,9,INVSTG,F,BLK,30-40,47
2016,9,INVSTG,F,BLK,40-50,35
2016,9,INVSTG,F,BLK,50-60,49
2016,9,INVSTG,F,BLK,60 or older,10
2016,9,INVSTG,F,BLK,Juvenile,131
2016,9,INVSTG,F,I,30-40,1
2016,9,INVSTG,F,I,Juvenile,2
2016,9,INVSTG,F,P,19-30,1
2016,9,INVSTG,F,P,30-40,1
2016,9,INVSTG,F,P,Juvenile,3
2016,9,INVSTG,F,WHT,19-30,60
2016,9,INVSTG,F,WHT,30-40,28
2016,9,INVSTG,F,WHT,40-50,32
2016,9,INVSTG,F,WHT,50-60,8
2016,9,INVSTG,F,WHT,60 or older,1
2016,9,INVSTG,F,WHT,Juvenile,23
2016,9,INVSTG,F,WWH,19-30,156
2016,9,INVSTG,F,WWH,30-40,53
2016,9,INVSTG,F,WWH,40-50,9
2016,9,INVSTG,F,WWH,50-60,6
2016,9,INVSTG,F,WWH,60 or older,3
2016,9,INVSTG,F,WWH,Juvenile,311
2016,9,INVSTG,M,API,19-30,17
2016,9,INVSTG,M,API,30-40,3
2016,9,INVSTG,M,API,40-50,7
2016,9,INVSTG,M,API,50-60,5
2016,9,INVSTG,M,API,Juvenile,14
2016,9,INVSTG,M,BLK,19-30,1043
2016,9,INVSTG,M,BLK,30-40,339
2016,9,INVSTG,M,BLK,40-50,236
2016,9,INVSTG,M,BLK,50-60,256
2016,9,INVSTG,M,BLK,60 or older,60
2016,9,INVSTG,M,BLK,Juvenile,534
2016,9,INVSTG,M,I,40-50,1
2016,9,INVSTG,M,I,50-60,1
2016,9,INVSTG,M,P,19-30,3
2016,9,INVSTG,M,P,40-50,1
2016,9,INVSTG,M,P,50-60,2
2016,9,INVSTG,M,U,19-30,1
2016,9,INVSTG,M,WHT,19-30,224
2016,9,INVSTG,M,WHT,30-40,100
2016,9,INVSTG,M,WHT,40-50,71
2016,9,INVSTG,M,WHT,50-60,43
2016,9,INVSTG,M,WHT,60 or older,15
2016,9,INVSTG,M,WHT,Juvenile,108
