year,district,contact_type_cd,count,age_group,a_count,race_code_cd,r_count,sex_code_cd,s_count
2016,3,INVSTG,4327,Juvenile,1088,API,33,F,599
2016,3,INVSTG,4327,Juvenile,1088,API,33,M,3724
2016,3,INVSTG,4327,Juvenile,1088,API,33,X,4
2016,3,INVSTG,4327,Juvenile,1088,BLK,4206,F,599
2016,3,INVSTG,4327,Juvenile,1088,BLK,4206,M,3724
2016,3,INVSTG,4327,Juvenile,1088,BLK,4206,X,4
2016,3,INVSTG,4327,Juvenile,1088,I,7,F,599
2016,3,INVSTG,4327,Juvenile,1088,I,7,M,3724
2016,3,INVSTG,4327,Juvenile,1088,I,7,X,4
2016,3,INVSTG,4327,Juvenile,1088,P,1,F,599
2016,3,INVSTG,4327,Juvenile,1088,P,1,M,3724
2016,3,INVSTG,4327,Juvenile,1088,P,1,X,4
2016,3,INVSTG,4327,Juvenile,1088,WHT,50,F,599
2016,3,INVSTG,4327,Juvenile,1088,WHT,50,M,3724
2016,3,INVSTG,4327,Juvenile,1088,WHT,50,X,4
2016,3,INVSTG,4327,Juvenile,1088,WWH,30,F,599
2016,3,INVSTG,4327,Juvenile,1088,WWH,30,M,3724
2016,3,INVSTG,4327,Juvenile,1088,WWH,30,X,4
2016,4,GANGLTR,414,19-30,178,API,3,F,26
2016,4,GANGLTR,414,19-30,178,API,3,M,388
2016,4,GANGLTR,414,19-30,178,BLK,389,F,26
2016,4,GANGLTR,414,19-30,178,BLK,389,M,388
2016,4,GANGLTR,414,19-30,178,WHT,3,F,26
